ngram,doc_id,span,has_prefix,has_quote_s,length,next_dep,next_ent_type,next_has_quote_s,next_is_alpha,next_is_punct,next_is_quote,next_is_space,next_is_stop,next_lemma,next_lex_id,next_pos,next_tag,pre_has_prefix,prev_dep,prev_ent_type,prev_is_alpha,prev_is_punct,prev_is_quote,prev_is_space,prev_is_stop,prev_lemma,prev_lex_id,prev_pos,prev_tag,span_dep,span_ent_type,span_id,span_is_alpha,span_is_punct,span_is_quote,span_is_space,span_is_stop,span_lemma,span_lex_id,span_pos,span_tag
Western Rong,73,the Western Rong,0.0,0.0,2,442,0,0.0,0.0,1.0,0.0,0.0,0.0,2593208677638477497,0,96,2593208677638477497,0.0,412,383,1.0,0.0,0.0,0.0,1.0,7425985699627899538,0,89,15267657372422890137,413,383,7,0.0,0.0,0.0,0.0,0.0,7425985699627899538,0,89,15267657372422890137
Rong,73,the Western Rong,0.0,0.0,1,442,0,0.0,0.0,1.0,0.0,0.0,0.0,2593208677638477497,0,96,2593208677638477497,0.0,7037928807040764755,383,1.0,0.0,0.0,0.0,0.0,10555827227230857786,0,95,15794550382381185553,413,383,7,0.0,0.0,0.0,0.0,0.0,7425985699627899538,0,89,15267657372422890137
The,73,The king,0.0,0.0,1,426,0,0.0,1.0,0.0,0.0,0.0,0.0,7464393751932445219,0,91,15308085513773655218,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,426,0,0,0.0,0.0,0.0,0.0,0.0,7425985699627899538,0,89,15267657372422890137
Duke,73,Duke Zhuang,1.0,0.0,1,436,378,0.0,1.0,0.0,0.0,0.0,0.0,5929456468329207955,0,95,15794550382381185553,0.0,440,0,1.0,0.0,0.0,0.0,1.0,3791531372978436496,0,84,1292078113972184607,436,378,1,0.0,0.0,0.0,0.0,0.0,16883499373028730966,0,95,15794550382381185553
Duke Zhuang,73,Duke Zhuang,1.0,0.0,2,412,0,0.0,1.0,0.0,0.0,0.0,1.0,7425985699627899538,0,89,15267657372422890137,0.0,440,0,1.0,0.0,0.0,0.0,1.0,3791531372978436496,0,84,1292078113972184607,436,378,1,0.0,0.0,0.0,0.0,0.0,16883499373028730966,0,95,15794550382381185553
Zhuang,73,Duke Zhuang,0.0,0.0,1,412,0,0.0,1.0,0.0,0.0,0.0,1.0,7425985699627899538,0,89,15267657372422890137,1.0,7037928807040764755,378,1.0,0.0,0.0,0.0,0.0,16883499373028730966,0,95,15794550382381185553,436,378,1,0.0,0.0,0.0,0.0,0.0,16883499373028730966,0,95,15794550382381185553
Qin,73,Qin Zhong,0.0,0.0,1,436,378,0.0,1.0,0.0,0.0,0.0,0.0,8605206886949496001,0,95,15794550382381185553,0.0,440,0,1.0,0.0,0.0,0.0,1.0,3791531372978436496,0,84,1292078113972184607,436,378,3,0.0,0.0,0.0,0.0,0.0,11615090310102915393,0,95,15794550382381185553
Qin Zhong,73,Qin Zhong,0.0,0.0,2,442,0,0.0,0.0,1.0,0.0,0.0,0.0,2593208677638477497,0,96,2593208677638477497,0.0,440,0,1.0,0.0,0.0,0.0,1.0,3791531372978436496,0,84,1292078113972184607,436,378,3,0.0,0.0,0.0,0.0,0.0,11615090310102915393,0,95,15794550382381185553
Zhong,73,Qin Zhong,0.0,0.0,1,442,0,0.0,0.0,1.0,0.0,0.0,0.0,2593208677638477497,0,96,2593208677638477497,0.0,7037928807040764755,378,1.0,0.0,0.0,0.0,0.0,11615090310102915393,0,95,15794550382381185553,436,378,3,0.0,0.0,0.0,0.0,0.0,11615090310102915393,0,95,15794550382381185553
Dog,73,Dog Hill,0.0,0.0,1,436,383,0.0,1.0,0.0,0.0,0.0,0.0,1647358963876657122,0,95,15794550382381185553,0.0,440,0,1.0,0.0,0.0,0.0,1.0,886050111519832510,0,84,1292078113972184607,436,383,5,0.0,0.0,0.0,0.0,0.0,7562983679033046312,0,95,15794550382381185553
Dog Hill,73,Dog Hill,0.0,0.0,2,426,0,0.0,1.0,0.0,0.0,0.0,1.0,4380130941430378203,0,83,17202369883303991778,0.0,440,0,1.0,0.0,0.0,0.0,1.0,886050111519832510,0,84,1292078113972184607,436,383,5,0.0,0.0,0.0,0.0,0.0,7562983679033046312,0,95,15794550382381185553
Hill,73,Dog Hill,0.0,0.0,1,426,0,0.0,1.0,0.0,0.0,0.0,1.0,4380130941430378203,0,83,17202369883303991778,0.0,7037928807040764755,383,1.0,0.0,0.0,0.0,0.0,7562983679033046312,0,95,15794550382381185553,436,383,5,0.0,0.0,0.0,0.0,0.0,7562983679033046312,0,95,15794550382381185553
Daluo,73,Daluo,0.0,0.0,1,442,0,0.0,0.0,1.0,0.0,0.0,0.0,2593208677638477497,0,96,2593208677638477497,0.0,436,0,1.0,0.0,0.0,0.0,0.0,2314999188010298198,0,91,15308085513773655218,400,379,7,1.0,0.0,0.0,0.0,0.0,9825556670138391996,0,95,15794550382381185553
Duke,73,Duke Zhuang,1.0,0.0,1,426,378,0.0,1.0,0.0,0.0,0.0,0.0,5929456468329207955,0,95,15794550382381185553,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,426,378,0,0.0,0.0,0.0,0.0,0.0,16883499373028730966,0,95,15794550382381185553
Duke Zhuang,73,Duke Zhuang,1.0,0.0,2,8206900633647566924,0,0.0,1.0,0.0,0.0,0.0,0.0,1807038389586785533,0,99,17109001835818727656,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,426,378,0,0.0,0.0,0.0,0.0,0.0,16883499373028730966,0,95,15794550382381185553
Zhuang,73,Duke Zhuang,0.0,0.0,1,8206900633647566924,0,0.0,1.0,0.0,0.0,0.0,0.0,1807038389586785533,0,99,17109001835818727656,1.0,7037928807040764755,378,1.0,0.0,0.0,0.0,0.0,16883499373028730966,0,95,15794550382381185553,426,378,0,0.0,0.0,0.0,0.0,0.0,16883499373028730966,0,95,15794550382381185553
Dog,73,Dog Hill,0.0,0.0,1,436,383,0.0,1.0,0.0,0.0,0.0,0.0,1647358963876657122,0,95,15794550382381185553,0.0,440,0,1.0,0.0,0.0,0.0,1.0,886050111519832510,0,84,1292078113972184607,436,383,3,0.0,0.0,0.0,0.0,0.0,7562983679033046312,0,95,15794550382381185553
