ngram,doc_id,has_prefix,has_quote_s,length,next_dep,next_ent_type,next_has_quote_s,next_is_alpha,next_is_punct,next_is_quote,next_is_space,next_is_stop,next_lemma,next_lex_id,next_pos,next_tag,pre_has_prefix,prev_dep,prev_ent_type,prev_is_alpha,prev_is_punct,prev_is_quote,prev_is_space,prev_is_stop,prev_lemma,prev_lex_id,prev_pos,prev_tag,sentence_id,span_dep,span_ent_type,span_id,span_is_alpha,span_is_punct,span_is_quote,span_is_space,span_is_stop,span_lemma,span_lex_id,span_pos,span_tag
Duke Zhuang,73,1,0,2,412,0,0,True,False,False,False,True,7425985699627899538,0,89,15267657372422890137,0,440,0,True,False,False,False,True,3791531372978436496,0,84,1292078113972184607,2,436,378,1,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
Zhuang,73,0,0,1,412,0,0,True,False,False,False,True,7425985699627899538,0,89,15267657372422890137,1,7037928807040764755,378,True,False,False,False,False,16883499373028730966,0,95,15794550382381185553,2,436,378,1,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
Qin,73,0,0,1,436,378,0,True,False,False,False,False,8605206886949496001,0,95,15794550382381185553,0,440,0,True,False,False,False,True,3791531372978436496,0,84,1292078113972184607,2,436,378,3,0,0,0,0,0,11615090310102915393,0,95,15794550382381185553
Qin Zhong,73,0,0,2,442,0,0,False,True,False,False,False,2593208677638477497,0,96,2593208677638477497,0,440,0,True,False,False,False,True,3791531372978436496,0,84,1292078113972184607,2,436,378,3,0,0,0,0,0,11615090310102915393,0,95,15794550382381185553
Zhong,73,0,0,1,442,0,0,False,True,False,False,False,2593208677638477497,0,96,2593208677638477497,0,7037928807040764755,378,True,False,False,False,False,11615090310102915393,0,95,15794550382381185553,2,436,378,3,0,0,0,0,0,11615090310102915393,0,95,15794550382381185553
Dog,73,0,0,1,436,383,0,True,False,False,False,False,1647358963876657122,0,95,15794550382381185553,0,440,0,True,False,False,False,True,886050111519832510,0,84,1292078113972184607,2,436,383,5,0,0,0,0,0,7562983679033046312,0,95,15794550382381185553
Dog Hill,73,0,0,2,426,0,0,True,False,False,False,True,4380130941430378203,0,83,17202369883303991778,0,440,0,True,False,False,False,True,886050111519832510,0,84,1292078113972184607,2,436,383,5,0,0,0,0,0,7562983679033046312,0,95,15794550382381185553
Hill,73,0,0,1,426,0,0,True,False,False,False,True,4380130941430378203,0,83,17202369883303991778,0,7037928807040764755,383,True,False,False,False,False,7562983679033046312,0,95,15794550382381185553,2,436,383,5,0,0,0,0,0,7562983679033046312,0,95,15794550382381185553
Daluo,73,0,0,1,442,0,0,False,True,False,False,False,2593208677638477497,0,96,2593208677638477497,0,436,0,True,False,False,False,False,2314999188010298198,0,91,15308085513773655218,2,400,379,7,1,0,0,0,0,9825556670138391996,0,95,15794550382381185553
Duke,73,1,0,1,426,378,0,True,False,False,False,False,5929456468329207955,0,95,15794550382381185553,0,0,0,0,0,0,0,0,0,0,0,0,3,426,378,0,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
Duke Zhuang,73,1,0,2,8206900633647566924,0,0,True,False,False,False,False,1807038389586785533,0,99,17109001835818727656,0,0,0,0,0,0,0,0,0,0,0,0,3,426,378,0,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
Zhuang,73,0,0,1,8206900633647566924,0,0,True,False,False,False,False,1807038389586785533,0,99,17109001835818727656,1,7037928807040764755,378,True,False,False,False,False,16883499373028730966,0,95,15794550382381185553,3,426,378,0,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
Dog,73,0,0,1,436,383,0,True,False,False,False,False,1647358963876657122,0,95,15794550382381185553,0,440,0,True,False,False,False,True,886050111519832510,0,84,1292078113972184607,3,436,383,3,0,0,0,0,0,7562983679033046312,0,95,15794550382381185553
Dog Hill,73,0,0,2,442,0,0,False,True,False,False,False,12646065887601541794,0,96,12646065887601541794,0,440,0,True,False,False,False,True,886050111519832510,0,84,1292078113972184607,3,436,383,3,0,0,0,0,0,7562983679033046312,0,95,15794550382381185553
Hill,73,0,0,1,442,0,0,False,True,False,False,False,12646065887601541794,0,96,12646065887601541794,0,7037928807040764755,383,True,False,False,False,False,7562983679033046312,0,95,15794550382381185553,3,436,383,3,0,0,0,0,0,7562983679033046312,0,95,15794550382381185553
Duke,244,1,0,1,426,0,0,True,False,False,False,False,14665303702414098656,0,95,15794550382381185553,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
Duke Mu,244,1,0,2,8206900633647566924,0,0,True,False,False,False,False,2091227070260480486,0,99,17109001835818727656,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
Mu,244,0,0,1,8206900633647566924,0,0,True,False,False,False,False,2091227070260480486,0,99,17109001835818727656,1,7037928807040764755,0,True,False,False,False,False,16883499373028730966,0,95,15794550382381185553,0,426,0,0,0,0,0,0,0,16883499373028730966,0,95,15794550382381185553
Jian,244,0,0,1,413,378,0,True,False,False,False,False,12161133495277023038,0,95,15794550382381185553,0,8206900633647566924,0,True,False,False,False,False,2091227070260480486,0,99,17109001835818727656,0,413,378,1,0,0,0,0,0,13833544905887217954,0,95,15794550382381185553
Jian Shu,244,0,0,2,404,0,0,True,False,False,False,True,2283656566040971221,0,88,17571114184892886314,0,8206900633647566924,0,True,False,False,False,False,2091227070260480486,0,99,17109001835818727656,0,413,378,1,0,0,0,0,0,13833544905887217954,0,95,15794550382381185553
Shu,244,0,0,1,404,0,0,True,False,False,False,True,2283656566040971221,0,88,17571114184892886314,0,7037928807040764755,378,True,False,False,False,False,13833544905887217954,0,95,15794550382381185553,0,413,378,1,0,0,0,0,0,13833544905887217954,0,95,15794550382381185553
Baili,244,0,0,1,407,378,0,True,False,False,False,False,11314802059826114770,0,95,15794550382381185553,0,404,0,True,False,False,False,True,2283656566040971221,0,88,17571114184892886314,0,407,378,2,0,0,0,0,0,11565973986337881904,0,95,15794550382381185553
Baili Xi,244,0,0,2,442,0,0,False,True,False,False,False,2593208677638477497,0,96,2593208677638477497,0,404,0,True,False,False,False,True,2283656566040971221,0,88,17571114184892886314,0,407,378,2,0,0,0,0,0,11565973986337881904,0,95,15794550382381185553
Xi,244,0,0,1,442,0,0,False,True,False,False,False,2593208677638477497,0,96,2593208677638477497,0,7037928807040764755,378,True,False,False,False,False,11565973986337881904,0,95,15794550382381185553,0,407,378,2,0,0,0,0,0,11565973986337881904,0,95,15794550382381185553
No,244,0,0,1,426,0,0,True,False,False,False,True,17454115351911680600,0,91,15308085513773655218,0,442,0,False,True,True,False,False,15884554869126768810,0,96,4969857429396651903,0,426,0,4,0,0,0,0,0,13055779130471031426,0,89,15267657372422890137
Zheng,244,0,0,1,8110129090154140942,0,1,False,False,False,False,False,16428057658620181782,0,93,74,0,396,0,True,False,False,False,False,922631143178789688,0,99,9188597074677201817,1,413,378,1,0,0,0,0,0,10795587487264768256,0,95,15794550382381185553
Zheng,244,0,0,1,440,0,0,True,False,False,False,True,886050111519832510,0,84,1292078113972184607,0,405,0,True,False,False,False,False,4201870561030741218,0,99,1534113631682161808,1,413,378,6,1,0,0,0,0,10795587487264768256,0,95,15794550382381185553
The,244,0,0,1,426,0,0,True,False,False,False,False,5566782022517605861,0,91,15308085513773655218,0,0,0,0,0,0,0,0,0,0,0,0,2,426,0,0,0,0,0,0,0,7425985699627899538,0,89,15267657372422890137
Cai,260,0,0,1,426,378,0,True,False,False,False,False,1612167049004747283,0,95,15794550382381185553,0,0,0,0,0,0,0,0,0,0,0,0,0,426,378,0,0,0,0,0,0,2608998410074175345,0,95,15794550382381185553
Cai Ze,260,0,0,2,8206900633647566924,0,0,True,False,False,False,True,10382539506755952630,0,99,17109001835818727656,0,0,0,0,0,0,0,0,0,0,0,0,0,426,378,0,0,0,0,0,0,2608998410074175345,0,95,15794550382381185553
Ze,260,0,0,1,8206900633647566924,0,0,True,False,False,False,True,10382539506755952630,0,99,17109001835818727656,0,7037928807040764755,378,True,False,False,False,False,2608998410074175345,0,95,15794550382381185553,0,426,378,0,0,0,0,0,0,2608998410074175345,0,95,15794550382381185553
Yan,260,0,0,1,442,0,0,False,True,False,False,False,12646065887601541794,0,96,12646065887601541794,0,440,0,True,False,False,False,True,886050111519832510,0,84,1292078113972184607,0,436,378,3,1,0,0,0,0,9657106461113395361,0,95,15794550382381185553
He,260,0,0,1,8206900633647566924,0,0,True,False,False,False,False,9016120516514741834,0,99,17109001835818727656,0,0,0,0,0,0,0,0,0,0,0,0,1,426,0,0,1,0,0,0,0,561228191312463089,0,94,13656873538139661788
He,260,0,0,1,8206900633647566924,0,0,True,False,False,False,False,203487227105936704,0,99,17109001835818727656,0,0,0,0,0,0,0,0,0,0,0,0,2,426,0,0,1,0,0,0,0,561228191312463089,0,94,13656873538139661788
Tang,260,0,0,1,413,378,0,True,False,False,False,False,12131576118151215659,0,95,15794550382381185553,0,8206900633647566924,0,True,False,False,False,False,203487227105936704,0,99,17109001835818727656,2,413,378,1,0,0,0,0,0,4768455683095615333,0,95,15794550382381185553
Tang Ju,260,0,0,2,402,0,0,True,False,False,False,True,3791531372978436496,0,93,5595707737748328492,0,8206900633647566924,0,True,False,False,False,False,203487227105936704,0,99,17109001835818727656,2,413,378,1,0,0,0,0,0,4768455683095615333,0,95,15794550382381185553
Ju,260,0,0,1,402,0,0,True,False,False,False,True,3791531372978436496,0,93,5595707737748328492,0,7037928807040764755,378,True,False,False,False,False,4768455683095615333,0,95,15794550382381185553,2,413,378,1,0,0,0,0,0,4768455683095615333,0,95,15794550382381185553
I,260,0,0,1,405,0,0,True,False,False,False,False,16158783587822825203,0,99,9188597074677201817,0,442,0,False,True,True,False,False,15884554869126768810,0,96,4969857429396651903,2,426,0,4,1,0,0,0,0,561228191312463089,0,94,13656873538139661788
Li,260,0,0,1,413,378,0,True,False,False,False,False,4281733038667565154,0,95,15794550382381185553,0,405,0,True,False,False,False,False,981084159343230821,0,99,17109001835818727656,2,413,378,6,0,0,0,0,0,7571453172128092820,0,95,15794550382381185553
