A_id,B_id
2811,1091
2817,1553
2820,1290
2826,2458
2832,2827
2832,2438
2832,1206
2832,1571
2835,2879
2835,2661
2835,811
2835,7
2835,945
2844,2350
285,2879
285,2074
2859,95
2862,2879
2862,2661
2862,7
2865,617
2871,1811
2871,2661
2871,2101
2889,390
2895,2975
2910,2438
2916,2581
2919,945
2919,2879
2919,2661
2925,1553
2928,400
2937,993
2940,373
2955,1337
2961,1183
2967,7
2967,945
2967,2879
2967,2661
297,2101
2970,2131
2973,2330
2988,38
2997,350
3000,2827
3000,2330
303,95
303,1302
309,2661
309,2330
312,6
315,2411
321,2438
33,1490
342,2330
348,381
354,945
354,2879
354,2661
36,397
363,183
366,2695
366,42
369,56
369,2842
378,2879
378,2661
378,2322
378,945
39,2330
399,2015
402,945
402,2879
402,2330
402,2661
411,2661
411,2879
411,2330
411,874
411,945
417,2330
417,2957
441,983
444,2957
444,2330
447,2330
459,2330
462,2985
465,2604
465,2330
465,808
465,1391
468,2628
483,2978
483,2729
483,165
483,29
483,668
483,1391
483,1553
483,145
483,6
486,945
486,7
486,2661
486,2879
495,2604
495,2330
495,189
495,7
495,248
498,109
504,1391
504,31
504,2661
504,2649
504,2330
507,2661
507,939
507,1719
507,1136
507,945
510,127
510,2736
513,1111
516,485
528,195
531,1860
546,1848
564,1302
564,1553
567,928
570,1490
570,1553
573,1856
576,1696
585,2827
585,2101
585,2438
585,1571
591,1391
591,1068
591,6
591,145
591,1553
60,1401
609,2330
618,945
618,2879
618,2661
627,2513
627,2596
627,95
630,2438
630,2827
630,1571
657,2549
672,1490
684,1807
717,939
726,2661
729,2330
729,2604
729,2957
729,7
729,248
729,205
729,67
729,1391
729,325
735,1729
738,2647
741,1490
741,756
741,1076
756,1490
762,2957
762,2584
762,2604
762,2330
762,63
762,205
762,325
762,1391
762,808
762,7
762,248
765,565
771,945
771,2661
771,2879
774,1291
789,1302
792,7
795,683
81,1703
813,1553
816,1452
819,1038
822,1391
822,205
822,325
822,2330
822,2957
825,854
825,589
828,788
828,2661
831,2695
831,2330
837,2233
858,2933
861,2737
87,891
876,2957
876,2438
876,2330
876,2661
885,1553
891,2661
894,2330
897,11
9,2661
90,1774
900,798
915,1846
918,1553
927,74
93,2661
930,1054
945,1328
948,325
948,2330
948,2438
96,336
963,1234
966,2905
966,2330
966,2957
969,2330
969,2827
99,744
99,547
990,2879
990,2661
990,1007
990,945
996,939
1,2832
10,449
100,2729
100,1553
100,29
100,145
100,1068
100,960
100,165
1000,2604
1000,2661
1000,29
1000,357
1000,1803
1015,833
1018,780
1018,51
1030,2330
1036,826
1036,808
1036,7
1036,284
1036,205
1036,325
1036,248
1036,1047
1036,2330
1036,2604
1039,2827
1039,2438
1039,2184
1039,1571
1045,2957
1045,2330
1048,2604
1048,2330
1048,808
1048,1391
1048,248
1048,7
1051,2433
1054,1931
106,2330
1063,2330
1075,1302
1078,2101
109,2330
1093,2661
1108,1409
1123,272
1129,185
1138,6
1138,1553
1138,29
1138,1068
1138,1631
1138,145
1138,1391
1138,668
1174,551
1177,2438
1177,2661
118,1260
1180,2957
1180,2330
1180,7
1180,1391
1180,248
1180,63
1186,945
1186,2879
1186,2661
1189,2695
1189,2738
1192,1553
1195,1391
1195,7
1195,808
1195,2330
1201,1617
1204,1571
1204,125
1204,2438
1204,2827
1207,2766
121,714
1213,342
1228,2330
1231,1629
1240,2829
1240,2661
1246,2928
1261,668
1261,182
1261,1553
1261,583
1267,1553
1270,2028
1273,2604
1273,2330
1273,248
1273,1684
1273,7
1297,82
130,955
1315,1294
1318,2695
1321,736
1327,63
1327,808
1327,1391
1327,248
1327,7
1327,205
1327,325
1327,2957
1327,2330
1327,2604
133,2330
1330,2330
1336,2330
1336,2957
1351,2330
1354,817
1357,36
1357,703
1366,1610
1369,2434
1378,2661
1381,2330
1381,939
1381,325
1381,1719
1393,2330
1393,2957
1402,1399
1402,416
1405,2101
1405,2661
1405,1811
1408,756
1408,1571
1408,1490
1408,2438
1408,2827
1411,1474
1417,1067
1423,1650
1432,467
1435,1748
1438,2330
1441,2661
1441,2957
1441,2330
1441,633
1441,945
1447,1553
1462,908
1468,679
1471,2330
148,2736
148,470
1483,945
1483,2922
1483,2879
1483,2661
1492,2661
1495,671
1516,2330
1522,2438
1525,1727
1528,2330
1528,2729
1528,2649
1528,28
1528,1391
1528,7
1528,1047
1528,754
1531,2957
1531,2661
1531,2330
1534,2330
1534,2695
1534,2957
1537,2062
154,1673
1540,2438
1540,575
1543,357
1543,29
1543,2661
1555,2092
1558,1925
1564,971
1564,2661
1570,2330
1570,2957
1570,2101
1576,2661
1588,357
1588,703
1588,29
1588,2604
1588,2661
1591,2330
1597,1659
16,126
1600,2879
1609,602
1609,2438
1612,2295
1615,1399
1627,1302
1627,2695
1630,632
1636,2605
1654,2729
1654,960
1654,1068
1654,1553
1654,165
1669,1506
1672,132
1675,2827
1684,179
169,1820
1705,945
1705,2661
1738,142
1744,2556
1750,2330
1756,1644
1759,454
1762,1672
1765,1392
1765,2330
178,2438
178,2827
178,2330
178,1571
178,874
178,1553
1807,1363
181,1403
1810,2330
1810,1553
1819,1896
1828,1302
1831,2684
184,2661
184,945
1846,1553
1849,1154
1855,68
1858,1571
1858,2827
1858,2438
187,2019
1888,2661
1891,1490
1891,2330
19,2330
19,2729
19,2604
19,2957
19,63
19,7
19,205
19,248
19,325
19,1391
1900,7
1900,248
1900,2604
1900,2330
1909,2330
1912,2216
1915,2870
1924,2059
1924,2661
1936,2937
1942,347
1945,1902
1948,2957
1948,2438
1948,2330
1951,1258
1951,1440
1954,2330
1957,2661
1960,796
1966,2165
1969,2330
1972,103
1987,377
199,2879
199,2661
199,7
2002,1459
2008,1490
2008,1422
2008,945
2008,2661
2011,938
2014,2661
2014,2879
2014,1553
2014,945
2023,945
2023,1490
2023,2879
2023,2661
2029,569
2032,621
2038,668
2038,165
2038,1300
2038,6
2038,1391
2038,145
2038,1553
2038,29
2038,2729
205,204
2050,2751
2062,2827
2065,6
2065,456
2065,1068
2065,2729
2077,914
208,2595
2080,2330
2086,1553
2098,945
2098,2879
2098,2661
2101,446
2104,137
2104,2661
2122,1576
2128,2661
2128,2558
2131,822
2131,2330
2140,555
2146,2661
2146,2879
2146,2330
2146,2695
2146,945
2149,302
2152,2498
2155,2661
2158,2330
2158,2903
2158,325
2158,205
2158,63
2164,2661
2164,2101
2164,1811
2167,1811
2167,2661
2167,2101
2173,1553
2173,425
2179,2695
2188,2702
2191,2330
2197,2987
2197,2438
22,945
22,1553
22,2330
22,2879
22,2661
2206,2330
2206,63
2206,205
2206,808
2206,715
2212,2827
2212,2438
2212,1571
2227,2957
2227,2330
223,1699
2233,1519
2248,2430
2257,1553
2266,2101
2272,2330
2272,688
2284,7
2284,808
2284,459
2284,2330
2284,2604
229,703
229,36
2299,2263
2305,2695
2314,2330
2317,150
2320,2879
2320,2661
2320,945
2335,1543
2338,173
2344,1515
2347,2233
2353,369
2365,2661
2365,945
2374,338
2380,2690
2386,1100
2395,1167
2395,2438
2398,2728
2407,1553
2410,29
2410,357
2410,2604
2410,2661
2413,2105
2416,1802
2416,2438
2425,224
2428,248
2428,1047
2428,100
2428,284
2428,63
2428,7
2428,325
2428,205
2428,808
2428,2604
2428,2330
2434,2957
2434,2330
2440,1083
2455,2101
247,518
2470,2210
2488,1553
2494,2661
25,504
2503,1679
2503,2101
2506,589
2506,584
2506,1571
2506,2438
2506,2827
2506,2085
2518,47
2527,102
253,7
253,945
253,2879
253,2661
2533,2193
2539,2661
2557,57
256,2330
256,2879
256,2661
256,945
2566,141
2569,1308
2572,283
2581,1553
2596,2438
2596,2827
2596,1571
2596,36
2602,192
2611,1978
2617,9
2620,1119
2620,2330
2629,945
2629,2661
2629,2879
2629,2330
2629,2957
2647,2661
2647,945
2656,2464
2662,2241
2668,939
2668,1719
2677,2045
2692,1438
2695,25
2698,1619
2704,1077
271,2052
271,2661
2713,567
2719,2661
2719,2879
2719,945
2722,2957
2725,1477
2737,2297
274,2330
274,2989
2740,468
2746,2736
2746,486
2749,990
2752,929
2755,2330
2761,2330
2767,1101
277,2661
277,2101
277,1811
2770,661
2788,2221
2794,2879
2794,2661
28,2006
280,1072
2800,2661
2803,287
2806,2661
2806,2962
2806,29
2821,2661
2821,2957
2821,2330
2821,2879
2821,945
2824,1811
2824,2101
2824,2661
283,1340
2830,2227
2830,2330
2836,2176
2839,2957
2839,2330
2842,945
2842,2879
2842,2661
286,2559
2860,2330
2860,2957
2869,2330
2869,205
2869,325
2887,1645
2890,2661
2890,945
2896,153
2899,305
2908,2233
2914,2575
2914,1553
292,2330
292,2438
292,2957
2926,295
2932,844
2947,1553
2947,945
2947,2879
2947,2661
295,1880
2950,2330
2953,2275
2974,437
2980,279
2989,1047
2989,205
2989,248
2989,174
2989,63
2989,325
2989,808
2989,1391
2989,2330
2989,2604
2989,2957
2989,2584
2989,2649
2995,2330
2998,404
307,848
313,2330
313,2661
313,2879
313,2604
313,2695
313,2957
313,1391
313,63
313,42
313,808
313,205
313,325
313,248
313,945
316,214
337,2330
337,7
337,808
340,1152
343,945
343,2661
343,2330
349,1553
349,2009
361,349
37,945
370,1018
385,2957
385,2330
388,945
388,2661
388,2879
391,44
4,1553
406,407
409,2438
415,226
418,784
43,2695
43,2661
43,2879
43,945
439,157
442,2330
445,2101
445,2661
445,1811
448,2957
448,2330
454,78
457,1256
460,21
484,2438
484,2827
484,1490
484,1571
49,2101
493,754
493,808
493,2729
496,60
499,2330
505,2376
505,2330
508,2957
508,2330
517,1641
520,1855
535,1881
535,2330
535,2957
538,1922
541,2624
541,2438
541,2233
544,1412
547,628
55,2330
556,960
556,1202
568,2615
580,1275
580,1168
589,2586
604,95
607,2231
613,595
616,2330
616,362
619,1719
625,975
646,1829
652,2590
655,1484
658,1555
664,357
664,2661
667,2438
667,2403
67,2827
67,2438
67,2330
67,2957
67,1571
670,29
670,465
670,357
670,2661
697,237
712,2957
712,2330
715,1429
715,165
718,2330
727,2330
727,2957
73,2157
736,936
739,1525
739,2330
742,703
748,1391
748,2330
76,742
763,945
763,2661
763,2879
769,193
775,1553
781,2330
784,1571
784,2438
784,2827
793,2957
793,2330
808,2601
820,1553
823,2920
826,801
838,1388
844,391
850,2729
853,36
853,1436
853,734
859,866
862,2957
862,2330
874,433
88,2723
880,1241
880,2736
892,810
901,589
916,2661
922,1302
931,2267
943,6
943,1068
943,960
943,165
952,945
955,2330
961,2330
964,2661
97,304
97,2827
970,2954
994,155
1022,1904
2285,2172
1859,943
1000,1803
1644,1658
1968,255
1315,1294
1018,780
1680,2142
1659,1900
1273,1684
1074,1599
1791,2336
1612,2295
1866,194
1836,410
1535,492
1248,1575
1261,182
1863,2202
1292,76
1051,2433
2206,715
1632,73
1924,2059
2506,2085
1440,2085
1914,2661
516,485
2331,2837
2573,2312
130,955
1402,416
741,756
1412,2124
1905,1662
1152,414
1634,1612
2970,2131
1763,1624
2123,988
838,1388
1809,2037
1034,547
271,2052
16,126
437,1406
1913,232
1823,1681
2516,1171
2115,2488
2413,2105
1270,2028
1608,471
1201,1617
1435,1748
2899,305
227,1097
1537,2062
2897,2665
2032,621
1056,154
2025,2509
2713,567
646,1829
1001,426
173,2550
1,2832
317,806
428,1723
1476,2
2989,2584
418,784
1029,1578
454,78
1178,1826
1569,827
544,1412
2038,1300
1008,1915
2928,400
2541,66
2158,2903
1912,2216
697,237
