movie_ind,name,year,score,tomatoter,audience,runtime,genre,certificate,gross,director,star,writer
1669,Carol,2016,,94%,74%,118 minutes,"Drama, Romance",R,,Todd Haynes,"Cate Blanchett, Kyle Chandler, Rooney Mara, Sarah Paulson, Jake Lacy, Cory Michael Smith, Carrie Brownstein, John Magaro, Blanca Camacho, Jayne Houdyshell, William Willet, Giedre Bond, Kevin Crowley, Jim Dougherty, Trent Rowland, Nik Pajic, Sadie Heim, Kennedy Heim, Amy Warner, Michael Haney, Wendy Lardin, Pamela Haynes, Greg Violand, Michael Ward, Kay Geiger, Christine Dye, Deb G. Girdler, Douglas Scott Sorenson, Ken Strunk, Mike Dennis, Ann Reskin, Annie Kalahurka, Linnea Bond, Steve Andrews, Tanya Smith, Ryan Gilreath, Chuck Gillespie, Jeremy Parker, Taylor Marie Frey",Phyllis Nagy
1670,Madame Bovary,2015,,43%,27%,118 minutes,"Art House & International, Drama",R,,Sophie Barthes,"Mia Wasikowska, Ezra Miller, Rhys Ifans, Paul Giamatti, Laura Carmichael, Logan Marshall-Green, Henry Lloyd-Hughes, Luke Tittensor, Morfydd Clark, Olivier Gourmet","Sophie Barthes, Felipe Marino"
1671,Killing Them Safely (Tom Swift And His Electric Rifle),2016,,91%,53%,100 minutes,Documentary,NR,,Nick Berardini,"Tom Smith, Rick Smith",Nick Berardini
1672,Ocean's 8,2018,,69%,44%,110 minutes,"Action & Adventure, Comedy",PG-13,,Gary Ross,"Sandra Bullock, Cate Blanchett, Anne Hathaway, Helena Bonham Carter, Mindy Kaling, Rihanna, Sarah Paulson, Awkwafina, Richard Armitage","Olivia Milch, Gary Ross"
1673,At The Devil's Door,2014,,39%,21%,91 minutes,"Horror, Mystery & Suspense",R,,Nicholas McCarthy,"Naya Rivera, Catalina Sandino Moreno, Arshad Aslam, Rob Brownstein, Jan Broberg, Tara Buck, Laura Kai Chen, Assaf Cohen, Olivia Crocicchia, Nick Eversman, Kent Faulcon, Kelsey Heller, Michael Massee, Agatha McCarthy, Ashley Rickards, Wyatt Russell, Daniel Roebuck, Mark Steger, Colin Egglesfield, Bresha Webb, Shaun P. O'Hagan, Jennifer Aspen, Ava Acres",Nicholas McCarthy
1674,Roma,2018,,96%,71%,135 minutes,Drama,R,,Alfonso Cuarón,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta, Marco Graf, Nancy García García",Alfonso Cuarón
1675,The Strange Ones,2018,,58%,44%,82 minutes,"Drama, Mystery & Suspense",R,,"Christopher Radcliff, Lauren Wolkstein","Alex Pettyfer, James Freedson-Jackson, Emily Althaus, Gene Jones",Christopher Radcliff
1676,Drifter,2017,,36%,12%,86 minutes,"Horror, Mystery & Suspense",NR,,Chris von Hoffmann,"Aria Emory, Drew Harwood, Monique Rosario, Anthony Ficco, Rebecca Fraiser, James McCabe, Craig Rose, Jonah Ehrenreich, Bram Barouh, Chris Santi, Melissa Raquel, Jack Davis","Chris von Hoffmann, Aria Emory"
1677,The Inhabitants,2016,,71%,12%,90 minutes,"Horror, Mystery & Suspense",NR,,"Michael Rasmussen , Shawn Rasmussen","Elise Couture, Michael Reed, India Pearl, Vasilios Asimakos, Judith Chaffee, Erica Derrickson, Edmund Donovan, Rebecca Whitehurst","Michael Rasmussen , Shawn Rasmussen"
1678,Kepler's Dream,2017,,56%,100%,90 minutes,"Drama, Kids & Family",NR,,Amy Glazer,"Holland Taylor, Isabella Blake-Thomas, Sean Patrick Flanery, Kelly Lynch, Kelly Hu, Steven Michael Quezada","Amy Glazer, Sylvia Brownrigg, Vijay Rajan, Sedge Thomson"
