movie_ind,name,year,score,tomatoter,audience,runtime,genre,certificate,gross,director,star,writer
2105,Zarafa,2015,,79%,65%,78 minutes,"Animation, Kids & Family",NR,,"Rémi Bezançon, Jean-Christophe Lie","Max Renaudin Pratt, Max Renaudin, Simon Abkarian, François-Xavier Demaison, Vernon Dobtcheff, Roger Dumas, Ronit Elkabetz, Mohamed Fellag, Déborah François, Thierry Fremont, Philippe Morier-Genoud, Mostéfa Stiti, Monstefa Stiti, Renaud Quilichini","Rémi Bezançon, Alexander Abela"
2106,Skate Kitchen,2018,,90%,76%,106 minutes,Drama,R,,Crystal Moselle,"Rachelle Vinberg, Jaden Smith, Dede Lovelace, Nina Moran, Kabrina Adams, Ajani Russell, Jules Lorenzo, Brenn Lorenzo, Hisham Tawfiq, Elizabeth Rodriguez","Aslihan Unaldi, Crystal Moselle, Jen Silverman"
2107,The Identical,2015,,6%,62%,107 minutes,Drama,PG,,Dustin Marcellino,"Ray Liotta, Ashley Judd, Seth Green, Joe Pantoliano, Blake Rayne, Erin Cottrell, Brian Geraghty, Amanda Crew, Waylon Payne, Danny Woodburn, Chris Mulkey, Noah Urrea, Gary Beaty, Caylin Cervetti, Ken Dodge, Johnna Goldstein, Johanna Goldstein, Michael Johnson, Brad Jones, Howard Klausner, Yochanan Marcellino, Joe McDougall, William McKinney, Leslie Mills, Ian Mitchell, Brad Naylor, John Newberg, Chris Finley, Cole Schaefer, Chris Scruggs, Lisa Stewart Seals, Kevin Shelley, Kevin Shell, Jacqueline Steele, J. Karen Thomas, Jeremy Walker, Michael Joiner, Wade Cummins, James Carslake, Raquel Payne, Katie Freeman, Nathan Clark George, Shelly Justice, Hunter Mobley",Howard Klausner
2108,Dawn Patrol,2015,,0%,9%,87 minutes,Drama,NR,,"Daniel Petrie, Daniel Petrie Jr.","Scott Eastwood, Jeff Fahey, Rita Wilson, Kimberly Matula, Julie Carmen, Chris Brochu, Keith Coogan","Brian Pittman, Rachel Long"
2109,Traffik,2018,,26%,47%,96 minutes,Mystery & Suspense,R,,Deon Taylor,"Paula Patton, Omar Epps, Roselyn Sanchez, Laz Alonso, Missi Pyle, Luke Goss, William Fichtner, Lorin McCraley, Scott Anthony Leet, Dawn Olivieri, September D'Angelo, Stacey Arwen Raab, Claude Duhamel, Lisa Hitchcock Kallstrom, Jeanne Young, Ramsey Hanchette, Leah M. Pears, Jeff Wiesen, Adrian Bustamante, Meinhard St. John, Angelica Tesla, Rick Richardson, John Lobato, D. Brad St. Cyr, Lindsay Vanina, Jordan Potch, Jenny Slenter, Scott Free, Johann Tate, Mike Betancourt, Tiffany Chen, Jim O'Reilly, Kelly Symone, Noel Farmer, Steven Orcino, William W. Barbour, John Demakas, Tyler McDanniel, Adam Chollet",Deon Taylor
2110,Grumpy Cat's Worst Christmas Ever,2014,,27%,38%,120 minutes,Comedy,NR,,"Jeff Morris, Tim Hill","Aubrey Plaza, Megan Charpentier, Daniel Roebuck, Russell Peters, Veronica Alicino, Evan Todd, Isaac Haig, Shauna Johannesen, Casey Manderson, Tyler Johnston, Grumpy Cat","Jeff Morris, Tim Hill"
2111,Ants on a Shrimp,2016,,75%,52%,93 minutes,Documentary,NR,,Maurice Dekkers,"René Redzepi, Lars Williams, Rosio Sanchez, Thomas Frebel, Daniel Giusti, Kim Mikkola",Maurice Dekkers
2112,The Green Inferno,2016,,36%,30%,101 minutes,"Horror, Mystery & Suspense",R,,Eli Roth,"Ariel Levy, Kirby Bliss Blanton, Lorenza Izzo, Sky Ferreira, Daryl Sabara, Nicolás Martínez Zemborain, Ramon Llao, Eusebio Arenas, Antonieta Pari, John Mark Allan, Sally Rose, Paul Norris, Mary Dunworth, Cody Pittman, Carola Chacon, Marco Frias, Bruno Pakomio, Eufemia Teao, Maria Tepihe","Eli Roth, Guillermo Amoedo"
2113,Mrs. Hyde (Madame Hyde),2018,,55%,8%,95 minutes,"Comedy, Drama, Science Fiction & Fantasy",NR,,Serge Bozon,"Isabelle Huppert, Romain Duris, José Garcia, Adda Senani, Guillaume Verdier, Patricia Barzyk, Pierre Léon","Serge Bozon, Axelle Ropert"
2114,Uncertain,2017,,100%,81%,81 minutes,Documentary,NR,,"Ewan McNicol, Anna Sandilands","Wayne Smith, Henry Lewis, Zach Warren, Sheriff Tom McCool, Karen Holzman, Game Warden Darrin Peeples, Lee Eisenberg, Billy Carter","Anna Sandilands, Ewan McNicol"
2115,Bad Moms,2016,,58%,63%,101 minutes,Comedy,R,,"Jon Lucas, Scott Moore","Mila Kunis, Kristen Bell, Kathryn Hahn, Christina Applegate, Emjay Anthony, Jada Pinkett Smith, Jay Hernandez, Annie Mumolo, Oona Laurence, David Walton, Clark Duke, Wendell Pierce, Leah McKendrick, Megan Ferguson, Lyle Brocato, Wanda Sykes, J.J. Watt, Ann Mahoney, Samantha Beaulieu, Yuka Takara, Jackie Tuttle, Adria Tennor, Kelly Lind, Lena Clark, Karmen Capella, Donna DuPlantier, Lindsey Garrett, Angela Larson, Christina DeRosa, Shauna Rappold, Lara Grice, Elizabeth Elkins, Carrie Lazar, Nina Millin, Yan Feldman, Jaylen Moore, David E. Simpson, Turner Crumbley, Billy Slaughter, Meghan Wolfe, Jay Jablonski, Dickson Obahor, Lajessie Smith, Eugenia Kuzmina, Mary Margaret McCloud, Lilly Singh, Harry Beckstead, Xanthus Valan, Martha Stewart, Colin Egglesfield, Elvira Kunis, Karen Hahn, Nancy Priddy, Adrienne Banfield, Lorelei Bell, Alice Mumolo","Jon Lucas, Scott Moore"
2116,Marauders,2016,,21%,31%,107 minutes,"Action & Adventure, Drama",R,,Steven C. Miller,"Christopher Meloni, Bruce Willis, Dave Bautista, Adrian Grenier, Johnathon Schaech, Lydia Hull, Tyler Jon Olson, Texas Battle, Christopher Rob Bowen, Chris W. Hill, Danny A. Abeckaser, Tara Holt, Alyshia Ochse, Carolyn Alise, Ryan O'Nan, Shea Buckner, Rico Simonini, Michael Urriquia, Kristen Rae Myers, Torrie Wilson, Alora Catherine Smith, Karen Strassman, Kayla Perkins, Charlotte Kirk, Derek DuChesne, Myra Zimmerman Grubbs, Derrek Du Chesne, Richard Fike","Chris Sivertson, Michael Cody"
2117,The White Haired Witch of Lunar Kingdom,2015,,0%,20%,103 minutes,"Action & Adventure, Drama, Science Fiction & Fantasy",NR,,"Zhang Zhiliang, Chi Leung 'Jacob' Cheung","Bingbing Fan, Huang Xiaoming, Zhao Wenzhuo, Vincent Zhao",Liang Yusheng
2118,Await Further Instructions,2018,,80%,25%,91 minutes,Horror,NR,,Johnny Kevorkian,"David Bradley, Grant Masters, Neerja Naik, Sam Gittins, Holly Weston",Gavin Williams
2119,Ismael's Ghosts (Les fantômes d'Ismaël),2018,,53%,25%,135 minutes,Drama,R,,Arnaud Desplechin,"Mathieu Amalric, Marion Cotillard, Charlotte Gainsbourg, Louis Garrel, Alba Rohrwacher, Hippolyte Girardot, Samir Guesmi",Arnaud Desplechin
2120,Heat and Dust,2017,,88%,56%,133 minutes,"Drama, Romance",R,,James Ivory,"Julie Christie, Greta Scacchi, Christopher Cazenove, Julian Glover, Susan Fleetwood, Shashi Kapoor, Madhur Jaffrey, Nickolas Grace, Zakir Hussain, Barry Foster, Amanda Walker, Patrick Godfrey, Jennifer Kendal, Sudha Chopra, Ratna Pathak, Tarla Mehta, Charles McCaughan, Jayut Kripilani, Sajik Khan, Leelabhai, Praveen Paul",Ruth Prawer Jhabvala
2121,Noma: My Perfect Storm,2016,,55%,42%,95 minutes,Documentary,NR,,Pierre Deschamps,"René Redzepi, Hanne Redzepi, Ali Rami Redzepi, Claus Meyer, Ferran Adrià, Tor Norretranders, Paul Cunningham, Soren Ledet, Anders Selmer, Philippe Houdet, Matt Goulding, Andrea Petrini, Leonardo deSousa, Roland Rittman, Soren Wiuff, Roderick Sloan, Tage Ronne, Daniel Giusti, Rosio Sanchez, Lars Williams, Thomas Frebel, The Team at Noma",Pierre Deschamps
2122,Deepwater Horizon,2017,,83%,82%,99 minutes,"Action & Adventure, Drama",PG-13,,Peter Berg,"Mark Wahlberg, Kurt Russell, John Malkovich, Gina Rodriguez, Dylan O'Brien (II), Kate Hudson, Jeremy Sande, Henry Frost, Ethan Suplee, Douglas M. Griffin, James DuMont, Joe Chrest, Brad Leland, Dave Maldonado, J.D. Evermore, Jason Pine, Jason Kirkpatrick, Robert Walker Branchaud, Jonathan Angel, Bill McMullen, Stella Allen, Peter Berg, Juston Street, Zachary Guerra, Chris Ashworth, Graham McGinnis, Robert Nash, Sean Carter, Henri Esteve, Elizabeth Carey, Mustafa Harris, Joel Allen, Terry Milam, Garrett Kruithof, Michael A. Howell, Ronald Weaver, Deneen Tyler, Jim Klock, Michael O'Brien, Garrett Hines, Robert Steinberg, Leighton Gonzales, Trace Adkins, Kurt Peterson, Ilan Srulovicz, Craig Shellenberger, Trent Zimmer, Cedric Gervais, Cierra Price, Tawnya Carr, Kenneth Billings, Meghan Gatto, Tom Yura, Wesley Figaro, Jennifer Tamminen, Saundra Santiago, Carliene O'Connor, Barry Fallon, Anthony Ace Thomas, Fred North, Ronnie Cupstid, David William Donze, Micah LeBlanc, Patrick Arabie, Brandt Allen, Kelly Smith, Stephen Nicoll, Preston Brice, Randolph Perkins, David Grutman, Peter Trentacosta, III, Jenny Kubiak, Steve Fisher, Scott Campbell, Mark Schotz, Barker Carlock, Tracy Mann, Richard Williams, Derek Thorsrud, Nick Litchfield, Robert Lovett, Mayla Parker","Matthew Michael Carnahan, Matthew Sand"
2123,"Goodnight Mommy (Ich seh, Ich seh)",2015,,85%,65%,99 minutes,"Drama, Horror",R,,"Veronika Franz, Severin Fiala","Susanne Wuest, Lukas Schwarz Thorsteinsson, Elias Schwarz, Hans Escher, Elfriede Schatz, Karl Purker, George Deliovsky, Christian Steindl, Christian Schatz, Erwin Schmalzbauer","Severin Fiala, Veronika Franz"
2124,A Very Sordid Wedding,2017,,83%,96%,109 minutes,Comedy,NR,,Del Shores,"Bonnie Bedelia, Leslie Jordan, Dale Dickey, Caroline Rhea, Whoopi Goldberg, Rosemary Alexander, Emerson Collins, Levi Kreis, Alec Mapa, Blake McIver Ewing, Thanya Romero, Newell Alexander, Lorna Scott, Carole Cook, Scott Presley, Sharon Garrison, Richard Curtin, Louise H. Beard, David Cowgill, David Steen, Katherine Bailess, T. Ashanti Mozelle, Aleks Paunovic, James Love, Mitchell Gold",Del Shores
2125,DriverX,2018,,44%,90%,98 minutes,Drama,NR,,Henry Barrial,"Patrick Fabian, Tanya Clarke, Desmin Borges, Travis Schuldt, Melissa Fumero, Oscar Nunez, Iqbal Theba",Henry Barrial
2126,Cat People,2016,,93%,73%,73 minutes,"Drama, Horror, Romance",R,,Jacques Tourneur,"Simone Simon, Kent Smith, Tom Conway, Jane Randolph, Jack Holt, Alan Napier, Elizabeth Dunne, Elizabeth Russell, Henrietta Burnside, Alec Craig, Eddie Dew, Dot Farley, George Ford, Bud Geary, Mary Halsey, Theresa Harris, Charles Jordan, Connie Leon, Murdock MacQuarrie, Leda Nicova, Donald Kerr",DeWitt Bodeen
2127,Batman: Return Of The Caped Crusaders,2016,,94%,68%,72 minutes,,PG,,Rick Morales,"Steven Weber, Adam West, Burt Ward, Julie Newmar, Wally Wingert","William Dozier, Bill Finger, Michael Jelenic, James Tucker"
2128,This Is Where I Leave You,2014,,43%,59%,103 minutes,Comedy,R,,Shawn Levy,"Jason Bateman, Tina Fey, Jane Fonda, Corey Stoll, Adam Driver, Kathryn Hahn, Rose Byrne, Abigail Spencer, Timothy Olyphant, Connie Britton, Debra Monk, Ben Schwartz, Dax Shepard, Aaron Lazar, Cade Lappin, Will Swenson, Carol Schultz, Kevin McCormick, Evan Wadle, Olivia Oguma, Barbara Spiegel, Gerry Vichi, Cheryl Stern, Beth Leavel, Carly Brooke, Michael Bryan French, Lance Roberts, Carolyn Seiff, Brahm Schenkman, Mia Fram Davidson, Crystal Anne Dickinson, Kenneth DeAbrew, Oakes Fegley",Jonathan Tropper
2129,My Dead Boyfriend,2016,,0%,30%,125 minutes,Comedy,R,,Anthony Edwards,"Heather Graham, Katherine Moennig, Griffin Dunne, Scott Michael Foster, John Corbett, Gina Gershon, Rich Graff, Viola Harris, Martha Millan, Lizzi Bougatsos, Angela Featherstone, Tina Huang, Beth Katehis, Andre Ward, Edwin Cahill, Cristina J. Huie, Isa McCutcheon, Lauren Schaffel, Bailey Edwards, Anne-Marie Cusson, Douglas Thomas, Dominic Colón, Brian Berrebbi, Jason Kravits, Mario Cases, Lauren Anne Schaffel, Poppy Fields, Jennifer Regan, Hannah Dunne, The Lady Bunny, Angel Rosa, Billy Morrissette, Phillip Jackson Smith, Kallan Wood",Billy Morrissette
2130,Selma,2015,,99%,86%,127 minutes,Drama,PG-13,,Ava DuVernay,"David Oyelowo, Carmen Ejogo, Tom Wilkinson, Cuba Gooding Jr., Alessandro Nivola, Giovanni Ribisi, Common, Wendell Pierce, Lorraine Toussaint, Tim Roth, Oprah Winfrey, André Holland, Omar J. Dorsey, Tessa Thompson, Colman Domingo, Martin Sheen, Dylan Baker, Niecy Nash, LaKeith Stanfield, Stephan James, Haviland Stillwell, Nigel Thatch, Jeremy Strong, Yamanee Coleman, Corey Reynolds, Ruben Santiago-Hudson, Trai Byers, John Archer Lundgren, E. Roger Mitchell, Tara Ochs, Henry G. Sanders, Kent Faulcon, Charity Jordan, Christine Horn, Preston Baker, John Lavelle, Stan Houston, Dane Davenport, Clay Chappell, Greg Chandler Maness, Ledisi Young, David Silverman (XI), Elizabeth Diane Wells, Jody Thompson, Fred Galle, Amahre Palmer, Brandon Carroll, Nadej K. Bailey, Nadej Bailey, Montrel Miller, Merriwether Stormy, Trinity Simone, Walter Hendrix, III, Joseph Oliveira, Charlandra L. Jacobs, Michael Shikany, Jordan Christina Rice, Clint Crane, Kenny Cooper, Roger A. Harrison, Mikeria Howard, Aaron Brewstar, Brian Kurlander, Dexter Tillis, Ashlei Sharpe Chestnut, Jeffery James Bucchino, Mark Cabus, Shannon Edwards, John Merical, Andrew Bleidner, Brandon O'Dell, Charles Black, Samuel Lee Fudge, Kyle McMahon, Gordon Meyer, J.J. Green, Tim Battle, Patti Schellhaas, Raven Ferguson, Ronan Brookes, Thom McGlon, Travis Turner (II), Ryan Fontaine, Qualen Bradley, Kathy Alderman, John Collier, Mike Taylor, Jasmine Taylor, Carol Anne Taylor, Scotty Bishop, Rachelle Wicker, Christopher Anthony Carr, Thomas Hughes, Amy Elizabeth Jones, AngelAnn Green-Orr, Todd Sassano, Donald Horner",Paul Webb
2131,The Age of Adaline,2015,,56%,67%,112 minutes,"Drama, Science Fiction & Fantasy",PG-13,,Lee Toland Krieger,"Blake Lively, Michiel Huisman, Harrison Ford, Ellen Burstyn, Kathy Baker, Amanda Crew, Linda Boyd, Hugh Ross, Richard Harmon, Fulvio Cecere, Anjali Jay, Hiro Kanagawa, Peter James Grey, Izabel A. Pearce, Cate Richardson, Jane Craven, Noel Johansen, Aaron Craven, Primo Allon, Darren Dolynski, Chris William Martin, Mark Ghanimé, Shaker Paleja, Daniel Bacon, Barclay Hope, Robert Maloney, Deejay Jackson, Lane Edwards, Tony Levins, Anthony Ingruber, Keith McCafferty, Serge Houde, Alison Wandruza, Alison Wandzura, Demord Dann, Grace Chin","Salvador Paskowitz, Allison Burnett, J. Mills Goodloe"
2132,Cars 3,2017,,70%,69%,109 minutes,"Animation, Comedy, Kids & Family",G,,Brian Fee,"Owen Wilson, Kerry Washington, Nathan Fillion, Lea DeLaria, Armie Hammer, Bonnie Hunt, Tony Shalhoub, Katherine Helmond, Cheech Marin, Paul Dooley, Cristela Alonzo, Larry The Cable Guy, Lloyd Sherr, Michael Wallis, Jenifer Lewis, John Ratzenberger, Guido Quaroni, Bob Costas, Bob Peterson, Ray Magliozzi, Tom Magliozzi","Kiel Murray, Bob Peterson, Mike Rich"
2133,The Ballad of Buster Scruggs,2018,,91%,78%,132 minutes,"Drama, Western",R,,"Joel Coen, Ethan Coen","Tim Blake Nelson, Bill Heck, James Franco, Liam Neeson, Zoe Kazan, Tom Waits, Tyne Daly, Brendan Gleeson","Ethan Coen, Joel Coen"
2134,All Square,2018,,91%,85%,93 minutes,Comedy,NR,,John Hyams,"Michael Kelly, Jesse Ray Sheps, Josh Lucas, Pamela Adlon, Tom Everett Scott, Isiah Whitlock Jr.",Timothy Brady
2135,Every Secret Thing,2015,,32%,32%,93 minutes,"Drama, Mystery & Suspense",R,,Amy Berg,"Diane Lane, Elizabeth Banks, Dakota Fanning, Danielle MacDonald, Nate Parker, Common, Renee Elise Goldsberry, Colin Donnell, Sarah Sokolovic, Bill Sage, Tonye Patano, Eva Grace Kellner, Brynne Norquist",Nicole Holofcener
2136,The D Train,2015,,52%,23%,97 minutes,Comedy,R,,"Andrew Mogel, Jarrad Paul","Jack Black, James Marsden, Kathryn Hahn, Kyle Bornheimer, Mike White, Henry Zebrowski, Russell Posner, Jeffrey Tambor, Corrina Lyons, Donna DuPlantier, Charlotte Gale, Denise Williamson, Han Soto, Danielle Greenup, Dermot Mulroney, Nicole Barré, Adria Tennor, Kendra Sue Waldman, James Thomas Rowland, Terrence Rosemore, Liann Pattison, Todd Blumenfeld, Jazzy Ellis, Daniella Short, Cynyon Dawn, Mariana Paola Vicente, Joseph Anderson, Reginal Varice, John-Paul Flaim, Eric Bickel, Jason Bishop, John Auville","Andrew Mogel, Jarrad Paul"
2137,Tangerines,2015,,87%,89%,87 minutes,Drama,R,,Zaza Urushadze,,Zaza Urushadze
2138,The Babadook,2015,,98%,72%,94 minutes,"Drama, Horror, Mystery & Suspense",NR,,Jennifer Kent,"Essie Davis, Barbara West, Daniel Henshall, Hayley McElhinney, Tim Purcell, Noah Wiseman, Tiffany Lyndall-Knight, Cathy Adamek, Peta Shannon, Benjamin Winspear, Michael Gilmour, Adam Morgan, John Maurice Sullivan, Craig Behenna, Terence Crawford, Carmel Johnson, Lise Hachi, Michelle Nightingale, Pippa Wanganeen, Pippa Wanganeeh, Chloe Hurn, Lotte Crawford, Stephen Sheehan, Lucy Hong, Chris Roberts, Tony Mack, Sophie Riggs, Craig McArdle, Sophie Allan, Bridget Walters, Isla Zorkovic, Ethan Grabis, Jacqy Phillips, Annie Batten, India Zorkovic, Charlie Crabtree",Jennifer Kent
2139,The Devil We Know,2018,,100%,88%,88 minutes,Documentary,NR,,Stephanie Soechtig,,Mark Monroe
2140,The Equalizer,2014,,60%,76%,131 minutes,Mystery & Suspense,R,,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour, Bill Pullman, Melissa Leo, Haley Bennett, David Meunier, Johnny Skourtis, Alex Veadov, Vladimir Kulich, E. Roger Mitchell, James Wilcox, Mike P. O'Dea, Anastasia Mousis, Allen Maldonado, Chris Lemieux, Mike Morrell, Matt Lasky, Shawn Fitzgibbon, Vitaliy Shtabnoy, Timothy John Smith, Timothy Smith, Robert Wahlberg, Steve Sweeney, Owen Burke, Luz Sanchez, John Romauldi, Johnny Messner, Patrick Coppola, William Xifaras, Jenny Johnson, Peter Haydu, Tait Fletcher, Mark Stefanich, Dan Bilzerian, Matthew Leonard, Elisala Baker, Yan Dron",Richard Wenk
2141,Sex Doll,2017,,0%,33%,104 minutes,"Drama, Mystery & Suspense",NR,,Sylvie Verheyde,"Hafsia Herzi, Ash Stymest, Karole Rocher, Paul Hamy, Ira Max",Sylvie Verheyde
2142,The Girl in the Spider's Web,2019,,40%,36%,,Drama,R,,Fede Alvarez,"Claire Foy, Sverrir Gudnason, LaKeith Stanfield, Sylvia Hoeks, Stephen Merchant, Claes Bang, Christopher Convery, Synnøve Macody Lund, Vicky Krieps, Cameron Britton, Mikael Persbrandt, Volker Bruch, Hendrik Heutmann","Steven Knight, Fede Alvarez, Jay Basu"
2143,The Outrageous Sophie Tucker,2015,,74%,61%,96 minutes,Documentary,NR,,William Gazecki,"Sophie Tucker, Barbara Walters, Carol Channing, Michael Feinstein, Tony Bennett, Bruce Vilanch, Shecky Green, Paul Anka, Kaye Ballard, Chubby Checker, Joe Franklin, Brenda Lee, Tony Martin, Mickey Rooney, Connie Stevens, Mamie Van Doren, Rusty Warren, David Hyde Pierce","Lloyd Ecker, Susan Ecker"
2144,"Bai ri yan huo (Black Coal, Thin Ice)",2015,,95%,58%,106 minutes,"Drama, Mystery & Suspense",NR,,"Yinan Diao, Diao Yinan","Fan Liao, Gwei Lunmei, Xuebing Wang",Yinan Diao
2145,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,,100%,72%,,Comedy,NR,,,"Steve Martin, Martin Short",
2146,Mr. Gaga: A True Story of Love and Dance,2017,,86%,83%,100 minutes,Documentary,NR,,Tomer Heymann,Ohad Naharin,
2147,Action Point,2018,,13%,26%,,"Action & Adventure, Comedy",R,,Tim Kirkby,"Johnny Knoxville, Aidan Whytock, Joe Vaz, Leon Clingman, Matthew Peterson","Johnny Knoxville, John Altschuler, Dave Krinsky"
2148,Into the Woods,2015,,71%,49%,125 minutes,"Kids & Family, Musical & Performing Arts",PG,,Rob Marshall,"Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, Johnny Depp, Tracey Ullman, Christine Baranski, Daniel Huttlestone, Lilla Crawford, Billy Magnussen, Tammy Blanchard, Lucy Punch, Joanna Riding, Simon Russell Beale, Frances De La Tour, Annette Crosbie, Richard Glover, David Georgiou, Gioacchino Jim Cuffaro, Andy Hayes, Scott Plumridge, Paul Gemignani","Rob Marshall, James Lapine"
2149,Kingsman: The Secret Service,2015,,74%,84%,128 minutes,Mystery & Suspense,R,,Matthew Vaughn,"Taron Egerton, Colin Firth, Mark Hamill, Samuel L. Jackson, Jack Davenport, Michael Caine, Mark Strong (II), Sofia Boutella, Samantha Womack, Sophie Cookson, Geoff Bell, Corey Johnson, Jack Cutmore-Scott, Edward Holcroft, Alex Nikolov, Velibor Topic, Jordan Long","Matthew Vaughn, Jane Goldman"
2150,All Eyez on Me,2017,,18%,53%,140 minutes,Drama,R,,Benny Boom,"Demetrius Shipp Jr., Kat Graham, Lauren Cohan, Hill Harper, Jamal Woolard, Danai Gurira, Annie Ilonzeh, Dominic L. Santana","Jeremy Haft, Steven Bagatourian, Eddie Gonzalez"
2151,The Crash (Jekyll Island),2017,,17%,72%,84 minutes,Mystery & Suspense,R,,Aram Rappaport,"Dianna Agron, Minnie Driver, Frank Grillo, John Leguizamo, Maggie Q, AnnaSophia Robb, Mary McCormack, Ed Westwick, Christopher McDonald, Jim Ortlieb, Andrew James Allen, Shannon Brown, Phillip Van Lear, Robert L. Wilson, Helen Soraya, Jessa Zarubica, Brent McGee, Tim O'Leary, Christopher R. Ellis, Kristine Veta, Terry Hamilton, Alberto Zeni, Ted LeBlang, Matt Dealy, Seema Mody, John Urbaniec, Sly Jones, Dawn Ferry, Katie Hamilton, Peter Franz, Gene Streeper, Frank Korver, Marty Flavin, Dylan Mooney",Aram Rappaport
2152,Self/less,2015,,19%,46%,117 minutes,"Drama, Mystery & Suspense, Science Fiction & Fantasy",PG-13,,Tarsem Singh,"Ryan Reynolds, Natalie Martinez, Matthew Goode, Ben Kingsley, Derek Luke, Victor Garber, Michelle Dockery, Melora Hardin, Jaynee-Lynne Kinchen, Sam Page, Brendan McCarthy, Thomas Francis Murphy, Sandra Laugherty, Emily Tremaine, Griff Furst, Cedric Palmisano, Tom Waite, Douglas M. Griffin, Marcus Lyle Brown, Teri Wyble, Mariana Paola Vicente, Gary Weeks (II), Kristen Erickson, Dakota Buchanan, Robert Harvey, Dylan Lowe, Jimmy Gonzales, Jesica Ahlberg, Dacia Fernandez, Hannah Jelinovic, Ashley Laliberty, Anna Dudnik, Big Freedia, Antionique Price, Shelby Skipper, David Robertson, Alvin Santana, Rashod Singleton, Keiton Crump, Jermel Wilson, Clay Chamberlin, Kate Ransome Wilcox, Julian Niccolini","Alex Pastor, David Pastor"
2153,Little Evil,2017,,92%,46%,94 minutes,"Comedy, Horror",NR,,Eli Craig,"Adam Scott, Evangeline Lilly, Bridget Everett, Clancy Brown, Owen Atlas, Sally Field, Tyler Labine, Carla Gallo, Kyle Bornheimer, Donald Faison, Chris D'Elia, Kim Evans, Hank Harris, Bradley Williams, Sasha Craig, Schuyler Whitesell, Schuyler White, Shannon Marie Watts, Debbie Scaletta, Violet Sostaric, Jami Kinton, David Gragg, Roger Conners, Christopher Mele, James Weir, Bryan Geary",Eli Craig
2154,Meet Me In Montenegro,2015,,50%,59%,88 minutes,"Comedy, Drama",NR,,"Alex Holdridge, Linnea Saasen","Alex Holdridge, Linnea Saasen, Rupert Friend, Jennifer Ulrich, Stuart Manashil, Mia Jacobs, Ben Braun, Deborah Ann Woll, Kate Mackeson","Linnea Saasen, Alex Holdridge"
2155,Set Fire To The Stars,2015,,56%,37%,90 minutes,Drama,NR,,Andy Goddard,"Elijah Wood, Celyn Jones, Kelly Reilly, Maimie McCoy, Shirley Henderson, Steve Speirs, Steven Mackintosh, Kevin Eldon","Andy Goddard, Celyn Jones"
2156,Before the Flood,2017,,70%,77%,96 minutes,Documentary,PG,,Fisher Stevens,"Leonardo DiCaprio, Barack Obama, Bill Clinton, John Kerry, Elon Musk, Pope Francis",Mark Monroe
2157,About Elly,2015,,99%,83%,119 minutes,"Art House & International, Drama, Kids & Family",NR,,Asghar Farhadi,"Golshifteh Farahani, Taraneh Alidoosti, Shahab Hosseini, Mani Haghighi, Merila Zarei, Peyman Moaadi, Rana Azadvar, Ahmad Mehranfar, Saber Abbar",Asghar Farhadi
2158,Same Kind of Different As Me,2018,,33%,87%,119 minutes,Drama,PG-13,,Michael Carney,"Greg Kinnear, Renée Zellweger, Djimon Hounsou, Jon Voight, Olivia Holt, Geraldine Singer, Austin Filson, Dana Gourrier, Ann Mahoney","Michael Carney , Alexander Foard, Ron Hall"
2159,The Big Day (Jour De Fete),2015,,100%,84%,79 minutes,"Art House & International, Comedy",NR,,Jacques Tati,"Jacques Tati, Guy Decomble, Paul Frankeur, Santa Relli, Maine Vallee, Roger Rafal, Jacques Beauvais, Beauvais, Delcassan","René Wheeler, Jacques Tati, Henri Marquet"
2160,Killers,2015,,86%,65%,137 minutes,"Action & Adventure, Drama, Mystery & Suspense",NR,,"Kimo Stamboel, Timo Tjahjanto","Rin Takanashi, Kazuki Kitamura, Ray Sahetapy, Epy Kusnandar, Oka Antara, Luna Maya",Takuji Ushiyama
2161,Goat,2016,,78%,44%,96 minutes,Drama,NR,,Andrew Neel,"Ben Schnetzer, Nick Jonas, James Franco, Gus Halper, Virginia Gardner, Jake Picking, Danny Flaherty, Austin Lyon, Brock Yurich, Broch Yurich, Will Pullen, Eric Staves, Jamar Jackson, Kevin Crowley, Jon Osbeck, Lauren Knutson, Denise Dal Vera, Denise DelVera, Pepper Sweeney, Clare Combest, Claire Combest, Nick Rose, Annie Grove, Caleb Farley, Daniel Grey, Cody Roberts, Trever Turner, Brennan Horine","Andrew Neel, David Gordon Green, Mike Roberts"
2162,Blue Jay,2016,,90%,76%,85 minutes,Drama,NR,,Alexandre Lehmann,"Mark Duplass, Sarah Paulson, Clu Gulager",Mark Duplass
2163,Kill Switch,2017,,10%,20%,91 minutes,"Drama, Science Fiction & Fantasy",R,,Tim Smit,"Dan Stevens (IV), Bérénice Marlohe, Tygo Gernandt, Charity Wakefield, Chloe-May Cuthill, Don Alphonso, Gijs Scholten van Aschat, Mike Reus","Charlie Kindinger, Omid Nooshin"
2164,Jeepers Creepers 3,2017,,17%,33%,100 minutes,"Drama, Horror, Special Interest",NR,,Victor Salva,"Chester Rushing, Gabrielle Haugh, Meg Foster, Ryan Moore, Gina Philips, Justin Hall, Stan Shaw, Brandon Smith, Jonathan Breck",Victor Salva
